,City,Property_crime,Population,Murder,Robbery,Theft,MV,Arson,Asslt,Population^2
386,Onalaska,62,1724,0,1,37,6,2,6,2972176
387,Orange,577,19057,1,1,299,42,0,76,363169249
388,Orange Grove,15,1357,0,0,10,0,0,1,1841449
389,Overton,61,2580,0,0,39,1,0,5,6656400
390,Ovilla,33,3535,0,1,25,1,1,3,12496225
391,Oyster Creek,50,1124,1,0,27,4,0,13,1263376
392,Paducah,3,1164,0,0,1,0,0,1,1354896
393,Palacios,157,4666,0,1,84,7,3,1,21771556
394,Palestine,1107,18458,1,1,841,49,0,66,340697764
395,Palmer,28,2023,0,1,16,0,0,1,4092529
396,Palmhurst,259,2698,1,0,242,1,0,1,7279204
397,Palm Valley,27,1311,0,0,22,1,0,0,1718721
398,Palmview,355,5625,0,1,279,17,1,19,31640625
399,Pampa,716,18471,1,1,552,38,2,178,341177841
400,Panhandle,7,2438,0,0,3,1,0,5,5943844
401,Pantego,112,2483,0,1,97,3,0,12,6165289
402,Paris,1219,25048,1,1,866,39,0,132,627402304
403,Parker,18,4205,0,0,14,0,0,5,17682025
404,Pasadena,5501,153195,1,1,3980,510,25,345,1993871545
405,Pearland,1928,98183,1,1,1541,100,1,88,1049966897
406,Pearsall,249,9488,0,1,177,3,2,7,90022144
407,Pecos,146,8786,0,1,112,9,0,7,77193796
408,Penitas,174,4693,0,1,133,7,0,29,22024249
409,Perryton,73,9392,0,1,48,12,0,11,88209664
410,Pflugerville,822,53007,0,1,699,31,1,36,-1485225247
411,Pharr,2509,73932,0,1,1810,120,2,173,1170973328
412,Pilot Point,34,4017,0,1,21,2,0,3,16136289
413,Pittsburg,196,4514,0,1,119,4,0,27,20376196
414,Plainview,877,22225,0,1,697,25,2,45,493950625
415,Plano,5930,275795,1,1,4730,256,16,196,-1246529303
416,Pleasanton,543,9394,0,1,430,33,0,31,88247236
417,Ponder,20,1463,1,0,18,0,0,2,2140369
418,Port Aransas,348,3726,0,1,264,38,2,15,13883076
419,Port Arthur,2390,54032,1,1,1537,127,14,215,-1375510272
420,Port Isabel,306,5055,0,1,253,5,1,8,25553025
421,Portland,570,15572,0,1,469,12,3,11,242487184
422,Port Neches,239,12773,0,1,150,20,1,34,163149529
423,Poteet,139,3375,0,1,86,10,3,11,11390625
424,Poth,26,1993,0,0,17,2,0,12,3972049
425,Pottsboro,37,2190,0,0,17,2,2,3,4796100
426,Premont,57,2722,0,1,27,1,7,16,7409284
427,Presidio,19,4204,0,0,9,1,0,1,17673616
428,Primera,22,4146,0,0,8,2,0,2,17189316
429,Princeton,116,7684,0,0,73,7,1,8,59043856
430,Progreso,86,5776,0,1,42,7,1,6,33362176
431,Prosper,202,12501,0,1,121,3,0,9,156275001
432,Queen City,65,1464,0,0,42,1,0,7,2143296
433,Quitman,44,1801,0,0,22,3,0,2,3243601
434,Ralls,7,1966,0,0,2,0,0,2,3865156
435,Rancho Viejo,8,2486,0,0,3,0,0,1,6180196
436,Ranger,42,2456,0,1,25,5,0,6,6031936
437,Ransom Canyon,4,1114,0,0,4,0,0,1,1240996
438,Raymondville,404,11164,0,1,287,6,8,165,124634896
439,Red Oak,360,11168,0,1,275,23,0,3,124724224
440,Refugio,57,2828,0,1,41,1,0,7,7997584
441,Reno,61,3261,0,0,41,0,0,2,10634121
442,Richardson,2758,104577,1,1,2068,151,4,51,-1948552959
443,Richland Hills,219,8012,0,1,142,23,0,4,64192144
444,Richmond,178,11841,0,1,122,13,0,33,140209281
445,Riesel,10,1018,0,0,9,0,0,4,1036324
446,Rio Grande City,509,13971,0,1,382,47,1,37,195188841
447,Rio Hondo,44,2429,0,0,38,0,0,7,5900041
448,River Oaks,163,7620,0,1,109,6,0,6,58064400
449,Roanoke,145,6644,0,1,108,8,0,6,44142736
450,Robinson,211,11237,1,1,160,7,0,16,126270169
451,Robstown,455,11665,1,1,336,17,0,11,136072225
452,Rockdale,154,5391,1,0,122,6,0,6,29062881
453,Rockport,596,9256,1,1,429,23,1,19,85673536
454,Rockwall,733,40622,1,1,585,63,0,12,1650146884
455,Rollingwood,19,1529,0,1,13,0,0,0,2337841
456,Roma,109,9900,0,1,70,22,6,31,98010000
457,Roman Forest,39,1820,0,0,34,1,0,0,3312400
458,Roscoe,12,1298,0,0,2,0,0,1,1684804
459,Rosenberg,676,32059,1,1,495,47,0,51,1027779481
460,Round Rock,2428,108577,1,1,2086,45,6,86,-1095936959
461,Rowlett,897,58177,0,1,689,37,3,52,-910403967
462,Royse City,92,10132,0,0,63,7,0,5,102657424
463,Runaway Bay,1,1352,0,0,0,0,0,0,1827904
464,Sabinal,21,1692,0,0,17,0,0,1,2862864
465,Sachse,229,21986,0,1,169,10,0,10,483384196
466,Salado,31,2159,0,0,28,0,0,0,4661281
467,San Angelo,3592,96661,1,1,2725,185,12,185,753414329
468,San Augustine,30,2081,0,1,23,3,0,5,4330561
469,San Diego,133,4437,0,1,85,0,1,11,19686969
470,Sanger,170,7226,0,1,123,13,1,8,52215076
471,San Juan,1071,35588,1,1,813,58,2,137,1266505744
472,San Marcos,1885,51786,1,1,1362,149,5,137,-1613177500
473,San Saba,63,3086,0,0,33,2,1,6,9523396
474,Sansom Park Village,132,4804,0,1,58,13,0,6,23078416
475,Santa Anna,22,1067,0,0,14,1,0,2,1138489
476,Santa Fe,272,12565,1,1,177,20,2,9,157879225
477,Santa Rosa,83,2895,0,0,50,3,0,3,8381025
478,Schertz,587,35882,0,1,483,23,0,46,1287517924
479,Schulenburg,51,2872,0,0,35,4,0,12,8248384
480,Seabrook,183,12580,0,1,121,15,0,14,158256400
481,Seagoville,616,15652,0,1,404,73,1,4,244985104
482,Seagraves,45,2581,0,1,25,4,0,7,6661561
483,Sealy,179,6163,0,1,125,4,0,29,37982569
484,Seguin,1118,26635,1,1,877,26,3,33,709423225
485,Selma,240,7747,0,1,181,24,0,12,60016009
486,Seminole,97,6877,0,0,74,7,0,5,47293129
487,Seven Points,71,1456,0,0,50,3,0,6,2119936
488,Seymour,81,2636,0,0,46,2,0,13,6948496
489,Shallowater,11,2516,0,0,2,0,0,0,6330256
490,Shamrock,29,2008,1,0,18,2,0,1,4032064
491,Shavano Park,64,3274,0,0,51,1,0,3,10719076
492,Shenandoah,200,2478,0,1,182,11,0,3,6140484
493,Sherman,1316,39377,1,1,958,46,6,93,1550548129
494,Silsbee,204,6662,0,0,169,5,4,8,44382244
495,Sinton,158,5698,0,1,113,11,0,33,32467204
496,Slaton,90,6112,0,1,61,1,0,7,37356544
497,Smithville,76,3865,1,1,61,2,1,3,14938225
